datetime,VOC,CO2,humidity,temperature,water_temperature,pH,EC
2020-06-23 18:39:08,0.1,407.9,64.66666666666667,22.0,20.00,-1.0,-1.0
2020-06-23 19:44:10,0.1,406.0,62.666666666666664,22.0,20.06,5.3,0.26
2020-06-23 20:49:24,2.2,406.6,64.0,22.0,20.12,5.54,0.19
2020-06-24 11:08:35,0.4,404.5,66.66666666666667,22.0,20.56,-1.0,-1.0
2020-06-24 14:04:00,1.0,408.1,71.0,21.0,20.37,5.71,-1.0
2020-06-24 15:16:42,0.4,406.0,66.0,21.0,20.31,5.8,0.23
2020-06-24 16:23:18,0.3,420.2,66.0,22.0,20.25,6.04,-1.0
2020-06-24 17:28:57,0.3,410.0,nan,nan,20.25,-1.0,-1.0
2020-06-24 20:49:04,0.3,408.0,63.333333333333336,22.0,20.37,5.5,0.24
2020-06-24 22:08:35,1.6,409.6,64.0,22.0,20.44,5.87,0.25
2020-06-25 10:06:10,0.2,409.7,62.333333333333336,23.0,20.62,-1.0,-1.0
2020-06-25 11:16:12,0.2,406.9,69.0,21.0,20.50,-1.0,-1.0
2020-06-25 12:21:37,2.0,409.0,70.0,21.0,20.44,-1.0,-1.0
2020-06-25 13:26:42,1.9,411.4,68.66666666666667,21.333333333333332,20.37,5.37,-1.0
2020-06-25 15:01:34,0.4,410.0,67.0,21.333333333333332,20.31,5.41,-1.0
2020-06-25 16:19:50,0.4,408.2,65.33333333333333,21.666666666666668,20.31,-1.0,0.2
2020-06-25 17:51:28,0.4,407.7,69.0,21.0,20.25,5.79,-1.0
2020-06-25 18:56:49,1.7,408.1,64.0,22.0,20.31,5.54,-1.0
2020-06-25 20:16:34,0.2,414.5,63.0,22.0,20.44,-1.0,-1.0
2020-06-25 21:21:52,0.7,407.2,44.333333333333336,22.0,20.50,5.47,-1.0
2020-06-25 23:21:37,0.6,407.0,65.0,22.0,20.56,5.52,0.21
2020-06-26 10:23:30,1.2,408.0,69.0,22.0,20.75,5.54,-1.0
2020-06-26 14:05:12,0.2,409.8,68.0,22.0,20.56,5.72,0.73
2020-06-26 17:08:39,0.9,414.1,66.33333333333333,23.0,20.50,-1.0,-1.0
2020-06-26 22:14:09,0.3,406.4,61.333333333333336,23.333333333333332,20.81,5.28,-1.0
2020-06-27 10:14:13,0.3,409.8,68.0,22.0,21.19,-1.0,-1.0
2020-06-27 11:54:18,0.8,404.6,64.33333333333333,23.0,21.06,5.88,0.8
2020-06-27 12:56:27,0.0,402.8,68.0,22.333333333333332,21.00,6.85,-1.0
2020-06-27 16:23:39,1.1,408.7,68.66666666666667,22.666666666666668,20.87,-1.0,-1.0
